phi_deg;plano_z;Line_A_y;Line_B_z;Line_C;YB;ZB;KN;SZ;S;Volumen_Calculado;Volumen_Error_%;GZ_5.0;GZ_lin_5.0;Error_Lin_5.0_%;GZ_5.15;GZ_lin_5.15;Error_Lin_5.15_%;GZ_5.3;GZ_lin_5.3;Error_Lin_5.3_%
25,0;3,986758461301352;0,42261826174069944;0,9063077870366499;-3,986758461301352;-2,070585709199394;3,3399036027790485;3,2880922069621965;0,752382636518;1078,9348152170242;2281,744;0,0;1,1750008982586995;1,2548649639894565;6,796936568228339;1,1116081589975944;1,189415117039669;6,999495047988667;1,0482154197364897;1,123965270089882;7,226553714734985
25,5;3,9581468220741414;0,43051109680829514;0,9025852843498606;-3,9581468220741414;-2,1082740093256818;3,357678524423536;3,3484149604738755;0,765348379624105;1079,1320166385103;2281,7440000000006;1,992981468939829e-14;1,1958594764324002;1,2799622632692456;7,032831908289815;1,1312828119111558;1,2132034193804624;7,241390623703755;1,0667061473899118;1,1464445754916794;7,475200953596922
26,0;3,928981169259956;0,4383711467890774;0,898794046299167;-3,928981169259956;-2,145769993240408;3,375764410632595;3,4084430106306476;0,7782161298961832;1079,3454190779325;2281,7440000000006;1,992981468939829e-14;1,2165872766852606;1,3050595625490347;7,2721692524047725;1,150831604666899;1,2369917217212558;7,48677014994695;1,0850759326485373;1,1689238808934772;7,727380704157483
26,5;3,8992602118298914;0,44619781310980877;0,8949343616020251;-3,8992602118298914;-2,18307535677288;3,394161352452133;3,468176523548623;0,7909896448897702;1079,569295135876;2281,7439999999997;1,992981468939829e-14;1,237187457999579;1,3301568618288238;7,514576972803133;1,1702577860331074;1,260780024062049;7,735239116484778;1,1033281140666364;1,1914031862952748;7,982672706853451
27,0;3,8689819764656717;0,45399049973954675;0,8910065241883679;-3,8689819764656717;-2,22019171461564;3,4128695159373224;3,527615639757744;0,8036726413204636;1079,814223647283;2281,7439999999997;1,992981468939829e-14;1,2576631410600103;1,3552541611086129;7,759710598368081;1,1895645660990781;1,2845683264028425;7,986431591124877;1,1214659911381464;1,2138824916970723;8,24068685891534
27,5;3,838146177845598;0,4617486132350339;0,8870108331782217;-3,838146177845598;-2,2571247659575113;3,431891273994342;3,586765155779472;0,8162734763692687;1080,0850387142198;2281,744;0,0;1,2780220896043026;1,3803514603884022;8,00685462453802;1,2087597976190474;1,308356628743636;8,239588321912194;1,1394975056337926;1,23636179709887;8,500614611806562
28,0;3,806752471789897;0,4694715627858908;0,882947592858927;-3,806752471789897;-2,2938808179061225;3,4512295642435307;3,6456306835337564;0,8288013068184115;1080,3851354729657;2281,744;0,0;1,2982728696043022;1,4054487596681913;8,255266868247425;1,2278521351864184;1,3321449310844293;8,493921451069241;1,1574314007685351;1,2588411025006676;8,761616599030956
28,5;3,7748000441933853;0,4771587602596084;0,8788171126619654;-3,7748000441933853;-2,3304666094501583;3,470887822911526;3,704218467452743;0,8412659058950926;1080,7118240060704;2281,744;0,0;1,318424666154701;1,4305460589479804;8,504194109193289;1,2468508521157595;1,3559332334252228;8,748631091229816;1,1752770380768185;1,2813204079024654;9,022840265744703
29,0;3,7422880552336704;0,48480962024633706;0,8746197071393957;-3,7422880552336704;-2,366886695461232;3,490868575754708;3,7625324169579466;0,8536746954799241;1081,057573446157;2281,7439999999997;1,992981468939829e-14;1,3384843157262611;1,4556433582277697;8,753112840021446;1,2657628726893104;1,379721535766016;9,003160507827396;1,1930414296523602;1,303799713304263;9,283691320273478
29,5;3,7092147482637183;0,49242356010346716;0,8703556959398997;-3,7092147482637183;-2,403141963724394;3,5111725137985994;3,820572365661868;0,8660310050410653;1081,4207334902458;2281,744;0,0;1,3584545651445326;1,4807406575075588;9,001853687319725;1,2845910311290123;1,4035098381068094;9,257328137600396;1,2107274971134925;1,3262790187060607;9,543974335104782
30,0;3,6755787778984894;0,49999999999999994;0,8660254037844387;-3,6755787778984894;-2,4392347635173905;3,531801267214874;3,878339904607625;0,8783399046076252;1081,8076345559123;2281,7439999999997;1,992981468939829e-14;1,3783399046076252;1,5058379567873477;9,250116879988145;1,303339904607625;1,4272981404476026;9,51081413234989;1,2283399046076253;1,348758324107858;9,80334669976374
30,5;3,641379125398011;0,5075383629607041;0,8616291604415258;-3,641379125398011;-2,4751682773985055;3,552757095971171;3,935837685292605;0,8906075075283804;1082,2141183812612;2281,744;0,0;1,3981458704890843;1,5309352560671368;9,497534440494501;1,3220151160449787;1,451086442788396;9,763226242794792;1,2458843616008732;1,3712376295096558;10,061388662725685
31,0;3,6066141661815148;0,5150380749100542;0,8571673007021123;-3,6066141661815148;-2,5109421848396183;3,5740403600641453;3,993064401496314;0,9028359520359892;1082,647416603097;2281,744;0,0;1,4178740269460435;1,5560325553469259;9,744062291518366;1,340618315709535;1,4748747451291895;10,014515529619475;1,2633626044730273;1,3937169349114533;10,318045664554027
